number,F_C,code_LWJ,last name,last name1,first name,name,string,line,sex,son-in-law,Gov._Exam,Grade,occupational_title,grade2,New_Grade,place of family origin,Final_place of family origin,Final_period,Birth_Year,Death_Year,Date_OT,father,grand_f,great_grand_f,great_great_grand_f,father_of_m,grand_father_of_mother,great_grand_father_of_mother,spouse1_familyname,spouse1_place of family origin,son_by_spouse1,daughter_by_spouse1,father_spouse1,grand_father_spouse1,great_grand_father_spouse1,father_of_mother_spouse1,grand_of_mother_spouse1,great_grand_father_of_mother_spouse1,spouse2_familyname,spouse2_place of family origin,son_by_spouse2,daughter_by_spouse2,father_spouse2,grand_father_spouse2,great_grand_father_spouse2,father_of_mother_spouse2,grand_mother_spouse2,great_grand_mother_spouse2,spouse3_familyname,spouse3_place of family origin,son_by_spouse3,daughter_by_spouse3,father_spouse3,grand_father_spouse3,great_grand_father_spouse3,mother_spouse3,grand_mother_spouse3,great_grand_mother_spouse3,spouse4_familyname,spouse4_place of family origin,son_by_spouse4,daughter_by_spouse4,father_spouse4,grand_father_spouse4,great_grand_father_spouse4,mother_spouse4,grand_mother_spouse4,great_grand_mother_spouse4,note,1g,2g,3g,4g,5g,6g,7g,8g,9g,10g,11g,12g,13g,14g,15g,16g,17g,18g,19g,20g,21g,22g,line,sex,son-in-law,period,generation,duplicates,q,last,When Last,q,q
1,1,1,권,1,행,행,a 1,0,0,0,,10,삼한벽상공신,1,,안동,안동,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,,3,,22,0,0
2,2,2,권,1,인행,인행,a 1 1,0,0,0,,6,낭중,6,,안동,안동,1,,,,권행,,,,,,,허,양천,1,,허선문,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,1,2,,5,,22,0,0
3,3,3,권,1,책,책,a 1 1 1,0,0,0,,1,호장정조,12,,안동,안동,2,,,,권인행,권행,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,0,0,0,2,3,,7,,22,1,0
4,4,4,권,1,균한,균한,a 1 1 1 1,0,0,0,,1,호장,12,,안동,안동,2,,,,권책,권인행,권행,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자 권좌섬,1,1,1,1,,,,,,,,,,,,,,,,,,,0,0,0,2,4,,9,,22,1,0
5,5,5,권,1,자팽,자팽,a 1 1 1 1 1,0,0,0,,1,호장정조,12,,안동,안동,3,,,,권균한,권책,권인행,권행,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,0,0,0,3,5,,11,,22,1,0
6,6,6,권,1,선개,선개,a 1 1 1 1 1 1,0,0,0,,1,호장동정 익아교위,12,,안동,안동,3,,,,권자팽,권균한,권책,권인행,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,0,0,0,3,6,,13,,22,1,0
7,7,7,권,1,렴,렴,a 1 1 1 1 1 1 1,0,0,0,,1,호장동정 행배융교위,12,,안동,안동,4,,,,권선개,권자팽,권균한,권책,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,0,0,0,4,7,,15,,22,1,0
8,8,8,권,1,이여,이여,a 1 1 1 1 1 1 1 1,0,0,0,,1,호장,12,,안동,안동,5,,,,권렴,권선개,권자팽,권균한,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,0,0,0,5,8,,17,,22,1,0
9,9,9,권,1,중시,중시,a 1 1 1 1 1 1 1 1 1,0,0,0,,1,보승별장 부호장중윤,12,,안동,안동,6,,,,권이여,권렴,권선개,권자팽,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,0,0,0,7,9,,19,,22,1,0
10,10,10199,권,1,취의,취의,a 1 1 1 1 1 1 1 1 2,0,0,0,,1,호장,12,,안동,안동,6,,,,권이여,권렴,권선개,권자팽,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,성화보 자녀 2,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,0,0,0,7,9,,19,,11,1,0
